# phi1    phi2
-51.942365566202284    -1.574533636133198
-53.35260535525151    -0.7372963095990555
-51.14643580347007    -1.4656173651076119
-51.37097881894414    -1.3057570868954218
-51.32591719740782    -1.1369395466076908
-49.997881854016555    -1.4171157514423955
-85.27140857955379    -2.266061646179122
-84.18871886741579    -2.417756141252886
-84.39122639263445    -2.296647118733471
-84.47144642967874    -1.1465375405122045
-85.6221262704837    -1.197543944032574
-82.06356882344909    -3.046891108113051
-82.03814898857411    -3.3416023007645133
-82.33821357351115    -3.1567406882700526
-82.72275947836965    -2.186020137927733
-82.26255319142808    -2.075592715130125
-82.36891297108792    -2.2622975681176998
-81.9138481106383    -1.8144862786948055
-82.0397453632965    -1.9358933032061838
-81.80941175778185    -1.8256538924774397
-81.3663401080587    -2.359611041417095
-81.18863622277325    -2.7494470611594664
-80.93412466634925    -2.046280226429372
-80.76694313009517    -2.607536471372975
-82.52849528144691    -1.076014835202068
-81.61793104913994    -0.9096593368892552
-81.60114629945855    -1.5578439007569653
-80.64772848678513    -1.9959085691234375
-80.21904636014182    -2.1348582868055073
-80.12589620694075    -1.9005952951520904
-80.35212527593774    -1.9700423719737719
-80.37948725747123    -1.7643444156782404
-80.3806515053871    -1.7954918443445513
-80.63223903213816    -1.9329385523850502
-80.56026704108325    -2.0525355756974806
-79.96227789733479    -2.1675157099176365
-79.90256992322998    -0.8431743392693456
-34.301115562834866    -0.012944370215569842
-34.562249788138274    -0.10937853719279317
-34.48234539718334    0.03577042674594762
-34.671944991482405    0.09963435953019636
-34.26941593336528    -0.13581309812843245
-34.38935883051471    0.05417299862493795
-33.93503354958034    -0.03978725254571327
-34.17451448869576    -0.17123369070702915
-33.487862311423896    0.02949057322593524
-33.03000077585011    0.16595787898287662
-32.92766615309654    0.038248094400272506
-32.92705003125991    0.04347613841731797
-33.00044224350739    0.18195453448184498
-32.93260264640202    -0.04107088930202665
-33.210988700602    -0.19310651498138393
-32.04225001277922    -0.6096851239022428
-33.77410279688286    -0.1779929783811209
-33.381053803740315    -0.5033584641666853
-33.24308848433361    0.1318567711317684
